GeneId	Symbol	Type	TranscriptsWithConservation	NonredundantExons	SpeciesWithSeqOrthologs	SpeciesWithBLAST	SpeciesWithWGA	SpeciesWithSynteny	SpeciesWithSequenceAndSynteny	Mouse BLAST	Mouse WGA	Mouse Synteny	Mouse Sequence+Synteny	Mouse Sequence region number	Mouse Sequence regions	Mouse Sequence exon number	Mouse Sequence exons	Mouse conserved region length
ENSG00000214049.7_5	[UCA1]	[lincRNA]	[ENST00000397381.5_2, ENST00000589333.3_2, ENST00000600160.3_2, ENST00000642256.1_1, ENST00000642269.1_1, ENST00000642440.1_1, ENST00000642894.1_1, ENST00000643552.1_1, ENST00000643567.1_1, ENST00000643818.1_1, ENST00000643846.1_1, ENST00000644103.1_1, ENST00000644174.1_1, ENST00000644400.1_1, ENST00000644502.1_1, ENST00000644567.1_1, ENST00000644590.1_1, ENST00000644730.1_1, ENST00000644796.1_1, ENST00000644845.1_1, ENST00000644962.1_1, ENST00000645156.1_1, ENST00000645177.1_1, ENST00000645221.1_1, ENST00000645251.1_1, ENST00000645389.1_1, ENST00000645708.1_1, ENST00000645764.1_1, ENST00000645805.1_1, ENST00000645821.1_1, ENST00000645877.1_1, ENST00000646128.1_1, ENST00000646397.1_1, ENST00000646494.1_1, ENST00000647185.1_1, ENST00000647292.1_1]	6	[]	[]	[]	[Mouse]	[]			[ENSMUST00000234135.1]		0		0		0
ENSG00000233480.2_5	[LINC01683]	[lincRNA]	[]	3	[]	[]	[]	[]	[]					0		0		0
ENSG00000228549.3_6	[BX284668.2]	[lincRNA]	[]	2	[]	[]	[]	[]	[]					0		0		0
ENSG00000259416.2_5	[AC021739.3]	[antisense]	[ENST00000557908.2_1]	3	[]	[]	[]	[Mouse]	[]			[ENSMUST00000181224.1, ENSMUST00000206208.1, ENSMUST00000206358.1, ENSMUST00000206543.1]		0		0		0
ENSG00000228251.1_6	[AC012442.1]	[lincRNA]	[]	2	[]	[]	[]	[]	[]					0		0		0
ENSG00000279691.1_6	[AC113410.3]	[TEC]	[ENST00000623366.1_1]	1	[]	[]	[]	[Mouse]	[]			[ENSMUST00000137096.1]		0		0		0
ENSG00000224204.1_5	[PHEX-AS1]	[antisense]	[ENST00000424650.1_1]	5	[]	[]	[]	[Mouse]	[]			[ENSMUST00000148217.1]		0		0		0
ENSG00000250421.5_6	[AC106798.1]	[lincRNA]	[ENST00000506819.1_1, ENST00000510621.5_1]	6	[]	[]	[]	[Mouse]	[]			[ENSMUST00000223772.1]		0		0		0
ENSG00000284848.1_3	[LINC02359]	[lincRNA]	[ENST00000542804.1_1, ENST00000545642.1_1, ENST00000643016.1_1]	16	[Mouse]	[Mouse]	[]	[Mouse]	[]	[ENSMUST00000196713.1]		[ENSMUST00000196393.1, ENSMUST00000196784.4, ENSMUST00000197784.4, ENSMUST00000198572.4, ENSMUST00000198903.1, ENSMUST00000199057.1, ENSMUST00000199324.4]		2	126580911-126580912;126595636-126595694;	2	126580537-126580912;126595636-126595771;	506353153
ENSG00000187600.14_5	[LINC02583]	[lincRNA]	[ENST00000415396.3_3, ENST00000416466.2_1, ENST00000449601.5_3, ENST00000642724.1_1]	6	[]	[]	[]	[Mouse]	[]			[ENSMUST00000189953.1, ENSMUST00000234482.1, ENSMUST00000234807.1]		0		0		0
ENSG00000286232.1_1	[AL365229.1]	[lincRNA]	[]	2	[]	[]	[]	[]	[]					0		0		0
ENSG00000236494.1_5	[AC008080.4]	[lincRNA]	[]	4	[]	[]	[]	[]	[]					0		0		0
ENSG00000235989.3_5	[MORC2-AS1]	[antisense]	[ENST00000422995.2_1, ENST00000432624.2_1, ENST00000441558.1_1, ENST00000609557.1_1]	5	[]	[]	[]	[Mouse]	[]			[ENSMUST00000132077.3, ENSMUST00000144852.1, ENSMUST00000153313.8, ENSMUST00000182330.1, ENSMUST00000193809.1, ENSMUST00000226545.1, ENSMUST00000226724.1, ENSMUST00000227137.1]		0		0		0
ENSG00000230489.1_5	[VAV3-AS1]	[antisense]	[]	3	[]	[]	[]	[]	[]					0		0		0
ENSG00000258162.3_6	[AC069228.1]	[antisense]	[ENST00000546936.2_1, ENST00000550272.1_2, ENST00000652105.1_1]	9	[]	[]	[]	[Mouse]	[]			[ENSMUST00000181196.1, ENSMUST00000218463.1, ENSMUST00000219229.1]		0		0		0
ENSG00000249175.1_5	[AC008534.1]	[antisense]	[]	4	[]	[]	[]	[]	[]					0		0		0
ENSG00000258379.1_5	[AL355097.1]	[lincRNA]	[ENST00000555889.1_1]	2	[]	[]	[]	[Mouse]	[]			[ENSMUST00000124068.7, ENSMUST00000124363.7, ENSMUST00000124395.1, ENSMUST00000130564.1, ENSMUST00000134448.1, ENSMUST00000135423.7, ENSMUST00000143652.1, ENSMUST00000144556.1, ENSMUST00000148122.1, ENSMUST00000149382.1, ENSMUST00000167922.1, ENSMUST00000221493.1, ENSMUST00000222644.1, ENSMUST00000223301.1, ENSMUST00000223462.1]		0		0		0
ENSG00000267207.1_6	[AC005884.1]	[antisense]	[ENST00000588604.1_1]	3	[Mouse]	[Mouse]	[]	[Mouse]	[]	[ENSMUST00000207005.1]		[ENSMUST00000128213.1, ENSMUST00000134305.1, ENSMUST00000136117.7, ENSMUST00000140673.7, ENSMUST00000146806.1, ENSMUST00000151652.7]		2	59113743-59113745;59147365-59147482;	2	59113573-59113745;59147365-59147483;	236522335
ENSG00000233602.1_5	[ERI3-IT1]	[sense_intronic]	[ENST00000414156.1_1]	2	[]	[]	[]	[Mouse]	[]			[ENSMUST00000132690.1]		0		0		0
ENSG00000263924.1_5	[AC022960.1]	[antisense]	[]	2	[]	[]	[]	[]	[]					0		0		0
ENSG00000256813.1_6	[AP000777.3]	[antisense]	[]	2	[]	[]	[]	[]	[]					0		0		0
ENSG00000254526.1_5	[AC090791.1]	[lincRNA]	[]	5	[]	[]	[]	[]	[]					0		0		0
ENSG00000279497.1_6	[AP003784.1]	[TEC]	[ENST00000622964.1_1]	1	[]	[]	[]	[Mouse]	[]			[ENSMUST00000132097.1, ENSMUST00000134006.7, ENSMUST00000139851.1, ENSMUST00000213224.1, ENSMUST00000214666.1]		0		0		0
ENSG00000276846.1_5	[AC016590.3]	[antisense]	[]	1	[]	[]	[]	[]	[]					0		0		0
ENSG00000254855.1_5	[AP001107.8]	[antisense]	[ENST00000530805.1_1]	3	[]	[]	[]	[Mouse]	[]			[ENSMUST00000236968.1]		0		0		0
ENSG00000260541.1_6	[AL031722.1]	[sense_overlapping]	[ENST00000570247.1_1]	2	[]	[]	[]	[Mouse]	[]			[ENSMUST00000234130.1]		0		0		0
ENSG00000259206.1	[RP13-608F4.8]	[processed_transcript]	[]	7	[]	[]	[]	[]	[]					0		0		0
ENSG00000230084.5_5	[AC006059.1]	[antisense]	[ENST00000434363.1_1, ENST00000438017.5_1, ENST00000445452.1_1]	5	[Mouse]	[Mouse]	[Mouse]	[Mouse]	[Mouse]	[ENSMUST00000181325.3, ENSMUST00000216791.1]	[ENSMUST00000181325.3, ENSMUST00000216791.1]	[ENSMUST00000181325.3, ENSMUST00000215257.1, ENSMUST00000216791.1]	[ENSMUST00000181325.3, ENSMUST00000216791.1]	2	42653858-42653859;42695485-42695880;	2	42653781-42653859;42695485-42695880;	170699082
ENSG00000258302.2_6	[AC025034.1]	[antisense]	[ENST00000552778.2_1]	2	[]	[]	[]	[Mouse]	[]			[ENSMUST00000192275.1, ENSMUST00000217680.1, ENSMUST00000218379.1, ENSMUST00000218457.1, ENSMUST00000220233.1]		0		0		0
ENSG00000254873.1_5	[AP001267.1]	[antisense]	[ENST00000531742.1_1, ENST00000534438.1_1]	3	[Mouse]	[Mouse]	[Mouse]	[Mouse]	[Mouse]	[ENSMUST00000215803.1]	[ENSMUST00000215803.1]	[ENSMUST00000213180.1, ENSMUST00000213473.1, ENSMUST00000215803.1, ENSMUST00000217585.1, ENSMUST00000218388.1, ENSMUST00000219016.1, ENSMUST00000219313.1]	[ENSMUST00000215803.1]	1	118272289-118272610;	1	118272289-118272610;	236544899
ENSG00000279015.1_5	[AC016717.3]	[TEC]	[]	1	[]	[]	[]	[]	[]					0		0		0
ENSG00000237253.1	[RP11-666A1.5]	[lincRNA]	[]	2	[]	[]	[]	[]	[]					0		0		0
ENSG00000267858.5_6	[MZF1-AS1]	[antisense]	[ENST00000593642.5_1, ENST00000600534.1_1, ENST00000600726.5_1]	7	[]	[]	[]	[Mouse]	[]			[ENSMUST00000210729.1]		0		0		0
ENSG00000272155.1_5	[AC055822.1]	[antisense]	[ENST00000606067.1_1]	1	[]	[]	[]	[Mouse]	[]			[ENSMUST00000193065.1]		0		0		0
ENSG00000241593.5_5	[AC099542.1]	[lincRNA]	[ENST00000464131.1_1, ENST00000478239.5_1]	7	[]	[]	[]	[Mouse]	[]			[ENSMUST00000231858.1, ENSMUST00000232518.1, ENSMUST00000232603.1]		0		0		0
ENSG00000283646.1_4	[LINC02009]	[lincRNA]	[]	5	[]	[]	[]	[]	[]					0		0		0
ENSG00000223765.2_5	[LINC01626]	[lincRNA]	[ENST00000431997.2_1]	4	[]	[]	[]	[Mouse]	[]			[ENSMUST00000191045.1, ENSMUST00000193885.1, ENSMUST00000195365.1]		0		0		0
ENSG00000230248.1_5	[Z98742.1]	[lincRNA]	[]	2	[]	[]	[]	[]	[]					0		0		0
ENSG00000285915.1_1	[AC015819.4]	[lincRNA]	[ENST00000647939.1_1]	2	[]	[]	[]	[Mouse]	[]			[ENSMUST00000238064.1]		0		0		0
ENSG00000266908.1_5	[AL109935.2]	[lincRNA]	[ENST00000587737.1_1]	2	[]	[]	[]	[Mouse]	[]			[ENSMUST00000124095.1, ENSMUST00000126910.7, ENSMUST00000130884.7, ENSMUST00000144501.1, ENSMUST00000146398.1, ENSMUST00000151417.7, ENSMUST00000154067.7]		0		0		0
ENSG00000254438.1_5	[AC022240.1]	[lincRNA]	[ENST00000532065.1_1]	2	[Mouse]	[]	[Mouse]	[Mouse]	[]		[ENSMUST00000187378.1]	[ENSMUST00000098100.3, ENSMUST00000138253.2, ENSMUST00000156875.7, ENSMUST00000211589.1]		2	13942996-13943508;13946238-13946410;	2	13942996-13943508;13946238-13946410;	55779152
ENSG00000250116.2_5	[AC018682.1]	[antisense]	[]	2	[]	[]	[]	[]	[]					0		0		0
ENSG00000225647.1_5	[AC005487.1]	[lincRNA]	[ENST00000440208.1_1]	4	[]	[]	[]	[Mouse]	[]			[ENSMUST00000217666.1, ENSMUST00000219118.1, ENSMUST00000219475.1, ENSMUST00000219678.1, ENSMUST00000219846.1, ENSMUST00000220044.1, ENSMUST00000221020.1, ENSMUST00000222917.1]		0		0		0
ENSG00000279033.1_5	[AC090984.1]	[TEC]	[ENST00000623172.1_1]	1	[]	[]	[]	[Mouse]	[]			[ENSMUST00000216940.1]		0		0		0
ENSG00000232688.1_5	[LINC01628]	[lincRNA]	[ENST00000444266.1_1]	3	[]	[]	[]	[Mouse]	[]			[ENSMUST00000117191.1, ENSMUST00000140161.1, ENSMUST00000143706.1, ENSMUST00000148496.1, ENSMUST00000150694.1, ENSMUST00000152073.1, ENSMUST00000193385.1]		0		0		0
ENSG00000255746.1_6	[AC007406.2]	[sense_intronic]	[]	3	[]	[]	[]	[]	[]					0		0		0
ENSG00000205444.3_6	[AL034376.1]	[lincRNA]	[ENST00000380106.3_2]	2	[]	[]	[]	[Mouse]	[]			[ENSMUST00000130003.7, ENSMUST00000170747.7, ENSMUST00000171079.1, ENSMUST00000189140.1, ENSMUST00000189905.1, ENSMUST00000220654.1, ENSMUST00000220859.1, ENSMUST00000220995.1, ENSMUST00000221012.1, ENSMUST00000221013.1, ENSMUST00000221256.1, ENSMUST00000221261.1, ENSMUST00000221760.1, ENSMUST00000222668.1, ENSMUST00000222690.1, ENSMUST00000223077.1, ENSMUST00000223526.1, ENSMUST00000224988.1, ENSMUST00000225041.1, ENSMUST00000225154.1, ENSMUST00000226101.1]		0		0		0
ENSG00000257839.1_5	[AC011611.4]	[antisense]	[ENST00000547721.1_1]	2	[]	[]	[]	[Mouse]	[]			[ENSMUST00000181547.1, ENSMUST00000186844.1, ENSMUST00000217752.1, ENSMUST00000218600.1, ENSMUST00000219530.1, ENSMUST00000220339.1]		0		0		0
ENSG00000267254.6_6	[AC020928.1]	[antisense]	[]	9	[]	[]	[]	[]	[]					0		0		0
ENSG00000227676.3_4	[LINC01068]	[lincRNA]	[ENST00000450187.2_1, ENST00000620874.1_1]	3	[]	[]	[]	[Mouse]	[]			[ENSMUST00000022711.7, ENSMUST00000073238.6, ENSMUST00000188698.1, ENSMUST00000193202.1, ENSMUST00000226150.1, ENSMUST00000226350.1, ENSMUST00000226670.1, ENSMUST00000227407.1, ENSMUST00000227476.1, ENSMUST00000227553.1, ENSMUST00000227651.1, ENSMUST00000228136.1, ENSMUST00000228670.1, ENSMUST00000228796.1]		0		0		0
ENSG00000236388.1_5	[ITCH-AS1]	[antisense]	[ENST00000454205.1_1]	2	[]	[]	[]	[Mouse]	[]			[ENSMUST00000142569.1]		0		0		0
ENSG00000272002.1_5	[AC010904.2]	[lincRNA]	[ENST00000606959.1_1]	1	[]	[]	[]	[Mouse]	[]			[ENSMUST00000221741.1, ENSMUST00000222815.1, ENSMUST00000223022.1]		0		0		0
ENSG00000285205.2_2	[AL121612.2]	[bidirectional_promoter_lncRNA]	[ENST00000643862.2_2]	1	[Mouse]	[Mouse]	[]	[Mouse]	[Mouse]	[ENSMUST00000224847.1, ENSMUST00000232932.1]		[ENSMUST00000220520.1, ENSMUST00000222329.1, ENSMUST00000224847.1, ENSMUST00000232932.1]	[ENSMUST00000224847.1, ENSMUST00000232932.1]	5	95236608-95237808;95238991-95239114;95239168-95239271;95239484-95239973;95240818-95241192;	1	95236607-95241195;	952392427
ENSG00000242385.1_5	[LINC00901]	[antisense]	[ENST00000487512.1_1]	2	[]	[]	[]	[Mouse]	[]			[ENSMUST00000186327.1, ENSMUST00000231748.1]		0		0		0
ENSG00000253982.1_5	[AC100810.1]	[antisense]	[]	4	[]	[]	[]	[]	[]					0		0		0
ENSG00000260899.1_6	[AC106886.2]	[processed_transcript]	[]	5	[]	[]	[]	[]	[]					0		0		0
ENSG00000272905.1_5	[AC018648.1]	[lincRNA]	[ENST00000608314.1_1]	1	[Mouse]	[]	[Mouse]	[Mouse]	[]		[ENSMUST00000098926.2]	[ENSMUST00000203397.1]		1	32885005-32885673;	1	32885005-32885673;	65770678
ENSG00000280245.1_6	[AC079336.7]	[TEC]	[ENST00000623428.1_1]	1	[]	[]	[]	[Mouse]	[]			[ENSMUST00000133400.1]		0		0		0
ENSG00000272894.5_5	[AC004982.2]	[lincRNA]	[]	5	[]	[]	[]	[]	[]					0		0		0
ENSG00000257265.1_5	[AC123905.1]	[lincRNA]	[]	4	[]	[]	[]	[]	[]					0		0		0
ENSG00000223554.1_2	[AC078851.1]	[lincRNA]	[]	2	[]	[]	[]	[]	[]					0		0		0
ENSG00000277825.1_5	[AC020917.3]	[lincRNA]	[ENST00000621050.1_1]	1	[]	[]	[]	[Mouse]	[]			[ENSMUST00000212189.1]		0		0		0
ENSG00000232623.1_5	[AP000266.1]	[antisense]	[]	2	[]	[]	[]	[]	[]					0		0		0
ENSG00000223660.1_5	[AC245052.1]	[lincRNA]	[]	2	[]	[]	[]	[]	[]					0		0		0
ENSG00000230266.1_5	[XXYLT1-AS2]	[antisense]	[ENST00000426468.1_1, ENST00000447975.1_1]	2	[]	[]	[]	[Mouse]	[]			[ENSMUST00000231959.1, ENSMUST00000232290.1]		0		0		0
ENSG00000260588.1_6	[AC027702.1]	[lincRNA]	[ENST00000563810.1_1]	1	[]	[]	[]	[Mouse]	[]			[ENSMUST00000210028.1]		0		0		0
ENSG00000251125.1_5	[AC091860.2]	[lincRNA]	[]	3	[]	[]	[]	[]	[]					0		0		0
ENSG00000268756.1_5	[AC104534.1]	[antisense]	[ENST00000594558.1_1]	2	[]	[]	[]	[Mouse]	[]			[ENSMUST00000209194.1]		0		0		0
ENSG00000225424.1_5	[AL391869.1]	[lincRNA]	[ENST00000414581.1_1]	2	[]	[]	[]	[Mouse]	[]			[ENSMUST00000210484.1]		0		0		0
ENSG00000269318.1_5	[AC007292.2]	[antisense]	[]	1	[]	[]	[]	[]	[]					0		0		0
ENSG00000278716.1_5	[AC133540.1]	[lincRNA]	[ENST00000620845.1_1]	1	[]	[]	[]	[Mouse]	[]			[ENSMUST00000182423.1]		0		0		0
ENSG00000273204.1_5	[AC104506.1]	[antisense]	[]	1	[]	[]	[]	[]	[]					0		0		0
ENSG00000258631.2_5	[AC110023.1]	[lincRNA]	[]	4	[]	[]	[]	[]	[]					0		0		0
ENSG00000230530.1_4	[LIMD1-AS1]	[bidirectional_promoter_lncRNA]	[]	3	[]	[]	[]	[]	[]					0		0		0
ENSG00000259687.1_4	[LINC01220]	[lincRNA]	[ENST00000558575.1_1, ENST00000561000.1_1]	3	[]	[]	[]	[Mouse]	[]			[ENSMUST00000220590.1]		0		0		0
ENSG00000249022.1_5	[AC093599.1]	[lincRNA]	[ENST00000515232.1_1]	5	[]	[]	[]	[Mouse]	[]			[ENSMUST00000192777.1]		0		0		0
ENSG00000260852.1_4	[FBXL19-AS1]	[antisense]	[]	1	[]	[]	[]	[]	[]					0		0		0
ENSG00000251454.1_6	[AC025244.2]	[lincRNA]	[ENST00000509215.1_1]	4	[]	[]	[]	[Mouse]	[]			[ENSMUST00000187067.1, ENSMUST00000191369.1, ENSMUST00000201126.1, ENSMUST00000202249.1, ENSMUST00000202883.1]		0		0		0
